,min_color,max_color,mean_color,median_color
0,17,87,39.89434523809524,38.0
1,32,255,78.94021739130434,69.0
2,9,57,30.861471861471863,32.0
3,19,255,51.34750566893424,46.0
4,7,108,24.840975583080414,22.0
5,17,255,54.52599090318389,46.0
6,32,92,51.45165505226481,51.0
7,43,255,86.25358090185676,73.0
8,8,100,21.510048780487804,19.0
9,22,255,82.71619556913674,69.0
10,23,255,115.01190476190476,89.0
11,9,25,15.696153846153846,15.0
12,24,255,95.22144340602284,79.0
13,25,255,81.55131578947369,62.0
14,23,255,97.95714285714286,74.0
15,9,88,22.66103929513152,21.0
16,27,114,54.398799313893655,52.0
17,28,87,49.59330357142857,49.0
18,13,52,27.768101761252446,27.0
19,30,223,64.97228381374723,58.0
20,8,36,14.938769134645423,15.0
21,20,255,87.46217494089835,71.0
22,32,255,139.46119196119196,133.0
23,8,47,18.867102396514163,18.0
24,21,74,39.74815724815725,38.0
25,10,23,15.505627705627706,15.0
26,18,255,87.54797979797979,65.0
27,14,234,55.81483325037332,45.0
28,15,255,67.89557683538531,54.0
29,24,255,119.78998778998779,96.0
30,10,23,15.642424242424243,16.0
31,48,255,170.349376114082,179.0
32,16,255,87.46115013169447,70.0
33,15,255,98.0567867036011,72.0
34,8,27,14.471907665505226,14.0
35,39,255,158.5122340425532,162.0
36,10,23,15.74819197896121,16.0
37,11,26,17.605882352941176,17.0
38,6,112,19.426573426573427,17.0
39,16,255,76.7948717948718,55.0
40,15,40,27.204887218045112,27.0
41,13,44,27.848937747035574,28.0
42,9,20,13.450581395348838,13.0
43,8,20,13.213903743315509,13.0
44,34,255,89.93277777777777,82.0
45,23,255,143.71212121212122,122.0
46,59,255,120.91100702576112,110.0
47,24,149,63.15546218487395,61.0
48,6,103,20.769656947786668,18.0
49,27,65,45.526385007397664,45.0
50,29,255,72.48993764172336,65.0
51,6,45,18.060708091011122,18.0
52,7,103,17.389092270571595,16.0
53,8,19,12.590042372881356,13.0
54,14,255,58.81818181818182,43.0
55,3,99,14.119331541820625,11.0
56,20,255,114.5313829787234,104.0
57,16,255,71.48012345679012,49.0
58,4,14,8.837557125051932,9.0
59,6,29,14.153617810760668,14.0
60,4,255,22.993792710155713,12.0
61,25,255,63.57905982905983,50.0
62,5,255,71.7910955875851,23.0
63,8,22,13.581466842336408,13.0
64,9,242,36.66771217712177,32.0
65,12,242,48.775351422033346,45.0
66,6,255,82.24147555101911,39.0
67,13,242,46.0224358974359,41.0
68,8,99,21.560663057772885,20.0
69,26,255,93.09660107334525,70.0
70,28,255,106.00027359781122,79.0
71,19,65,38.728535980148884,38.0
72,32,255,117.57363636363637,106.0
73,19,61,34.325520833333336,33.0
74,8,81,23.461823966065747,22.0
75,18,218,55.25306026365348,49.0
76,5,87,15.195004023219726,12.0
77,14,49,26.805385556915546,26.0
78,19,255,93.54605263157895,67.0
79,5,88,14.264921563167178,12.0
80,4,11,6.534475186649099,6.0
81,10,95,27.608597285067873,23.0
82,6,20,10.192491630798662,10.0
